
Kaby Lake3002737559,77921.653425,62602.105119,0.814817,2704.539157
Kaby Lake3002737560,77921.666181,62602.114945,0.814817,2704.539951
Kaby Lake3002737561,77921.682111,62602.124711,0.814817,2704.540683
Kaby Lake3002737562,77921.697187,62602.135514,0.814817,2704.541538
Kaby Lake3002737562,77921.710859,62602.143204,0.814817,2704.542209
Kaby Lake3002737563,77921.710859,62602.152238,0.814817,2704.542209
Kaby Lake3002737564,77921.725568,62602.162247,0.814817,2704.542881
Kaby Lake3002737565,77921.740522,62602.171158,0.814817,2704.544284
Kaby Lake3002737566,77921.754621,62602.180436,0.814817,2704.545139
Kaby Lake3002737567,77921.768537,62602.188859,0.814817,2704.545871
Kaby Lake3002737568,77921.783368,62602.198136,0.814817,2704.546604
Kaby Lake3002737569,77921.797834,62602.206803,0.814817,2704.547275
Kaby Lake3002737570,77921.811078,62602.214859,0.814817,2704.547946
Kaby Lake3002737571,77921.824628,62602.222977,0.814817,2704.548557
Kaby Lake3002737571,77921.837812,62602.231400,0.814817,2704.549228
Kaby Lake3002737572,77921.837812,62602.240860,0.814817,2704.549228
Kaby Lake3002737573,77921.852460,62602.248978,0.814817,2704.549961
Kaby Lake3002737574,77921.865705,62602.256546,0.814817,2704.550571
Kaby Lake3002737575,77921.878583,62602.264420,0.814817,2704.551242
Kaby Lake3002737576,77921.891767,62602.273087,0.814817,2704.551914
Kaby Lake3002737577,77921.906659,62602.281937,0.814817,2704.552646
Kaby Lake3002737578,77921.920392,62602.291275,0.814817,2704.553318
Kaby Lake3002737579,77921.934308,62602.299393,0.814817,2704.553928
Kaby Lake3002737579,77921.947614,62602.308426,0.814817,2704.554599
Kaby Lake3002737580,77921.962140,62602.317581,0.814817,2704.555332
Kaby Lake3002737581,77921.962140,62602.325394,0.814817,2704.555332
Kaby Lake3002737582,77921.975995,62602.333512,0.814817,2704.556003
Kaby Lake3002737583,77921.989056,62602.340897,0.814817,2704.556674
Kaby Lake3002737584,77922.002850,62602.350357,0.814817,2704.557407
Kaby Lake3002737585,77922.017743,62602.358780,0.814817,2704.558078
Kaby Lake3002737586,77922.030987,62602.366898,0.814817,2704.558750
Kaby Lake3002737587,77922.044110,62602.375321,0.814817,2704.559360
Kaby Lake3002737588,77922.057354,62602.386734,0.814817,2704.560092
Kaby Lake3002737589,77922.072613,62602.396194,0.814817,2704.560825
Kaby Lake3002737590,77922.086041,62602.404861,0.814817,2704.561435
Kaby Lake3002737590,77922.100201,62602.412857,0.814817,2704.562107
Kaby Lake3002737591,77922.100201,62602.420792,0.814817,2704.562107
Kaby Lake3002737592,77922.113140,62602.428970,0.814817,2704.562778
Kaby Lake3002737593,77922.126385,62602.437820,0.814817,2704.563449
Kaby Lake3002737594,77922.140118,62602.445877,0.814817,2704.564121
Kaby Lake3002737595,77922.152874,62602.453689,0.814817,2704.564792
Kaby Lake3002737596,77922.165936,62602.462662,0.814817,2704.565402
